time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-03-26 00:00:00+00:00,1.0,1.0,36.0,3.0
2023-03-27 00:00:00+00:00,4.0,2.0,128.0,6.0
2023-03-28 00:00:00+00:00,1.0,1.0,29.0,5.0
2023-03-29 00:00:00+00:00,,,143.0,12.0
2023-03-30 00:00:00+00:00,9.0,5.0,162.0,15.0
2023-03-31 00:00:00+00:00,14.0,6.0,181.0,20.0
2023-04-01 00:00:00+00:00,,,18.0,5.0
2023-04-02 00:00:00+00:00,,,14.0,4.0
2023-04-03 00:00:00+00:00,4.0,2.0,131.0,10.0
2023-04-04 00:00:00+00:00,,,107.0,11.0
2023-04-05 00:00:00+00:00,7.0,5.0,77.0,13.0
2023-04-06 00:00:00+00:00,3.0,3.0,37.0,6.0
2023-04-07 00:00:00+00:00,2.0,2.0,15.0,4.0
2023-04-08 00:00:00+00:00,,,2.0,2.0
2023-04-09 00:00:00+00:00,2.0,2.0,,
