time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-09-13 00:00:00+00:00,,,66,9
2024-09-14 00:00:00+00:00,1.0,1.0,3,2
2024-09-15 00:00:00+00:00,,,1,1
2024-09-16 00:00:00+00:00,1.0,1.0,72,11
2024-09-17 00:00:00+00:00,3.0,1.0,256,14
2024-09-18 00:00:00+00:00,,,132,15
2024-09-19 00:00:00+00:00,,,185,10
2024-09-20 00:00:00+00:00,,,18,5
2024-09-21 00:00:00+00:00,,,7,3
2024-09-22 00:00:00+00:00,,,21,3
2024-09-23 00:00:00+00:00,1.0,1.0,88,16
2024-09-24 00:00:00+00:00,,,229,15
2024-09-25 00:00:00+00:00,2.0,2.0,238,22
2024-09-26 00:00:00+00:00,2.0,2.0,137,17
