time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-02-10 00:00:00+00:00,1.0,1.0,,
2024-02-11 00:00:00+00:00,1.0,1.0,19.0,3.0
2024-02-12 00:00:00+00:00,1.0,1.0,62.0,12.0
2024-02-13 00:00:00+00:00,,,131.0,8.0
2024-02-14 00:00:00+00:00,,,48.0,10.0
2024-02-15 00:00:00+00:00,,,188.0,13.0
2024-02-16 00:00:00+00:00,4.0,3.0,13.0,9.0
2024-02-17 00:00:00+00:00,,,7.0,3.0
2024-02-18 00:00:00+00:00,1.0,1.0,9.0,4.0
2024-02-19 00:00:00+00:00,,,67.0,10.0
2024-02-20 00:00:00+00:00,1.0,1.0,93.0,12.0
2024-02-21 00:00:00+00:00,4.0,4.0,188.0,17.0
2024-02-22 00:00:00+00:00,3.0,3.0,203.0,10.0
2024-02-23 00:00:00+00:00,2.0,2.0,109.0,15.0
2024-02-24 00:00:00+00:00,,,12.0,2.0
