time_iso8601,clones_total,clones_unique,views_total,views_unique
2021-06-24 00:00:00+00:00,4,4,14,1
2021-06-25 00:00:00+00:00,15,5,0,0
2021-06-26 00:00:00+00:00,14,4,11,1
2021-06-27 00:00:00+00:00,14,5,1,1
2021-06-28 00:00:00+00:00,63,5,0,0
2021-06-29 00:00:00+00:00,123,5,5,2
2021-06-30 00:00:00+00:00,37,6,1,1
2021-07-01 00:00:00+00:00,13,5,1,1
2021-07-02 00:00:00+00:00,2,1,12,2
2021-07-03 00:00:00+00:00,0,0,1,1
2021-07-04 00:00:00+00:00,0,0,8,3
2021-07-05 00:00:00+00:00,0,0,4,2
2021-07-06 00:00:00+00:00,69,5,6,2
2021-07-07 00:00:00+00:00,98,6,2,2
2021-07-08 00:00:00+00:00,56,6,5,4
2021-07-09 00:00:00+00:00,69,9,9,2
2021-07-11 00:00:00+00:00,12,8,6,3
2021-07-12 00:00:00+00:00,12,6,1,1
