time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-11-08 00:00:00+00:00,11.0,4.0,182,24
2024-11-09 00:00:00+00:00,,,19,11
2024-11-10 00:00:00+00:00,1.0,1.0,5,4
2024-11-11 00:00:00+00:00,,,129,23
2024-11-12 00:00:00+00:00,11.0,4.0,96,25
2024-11-13 00:00:00+00:00,6.0,6.0,29,14
2024-11-14 00:00:00+00:00,,,29,12
2024-11-15 00:00:00+00:00,1.0,1.0,26,12
2024-11-16 00:00:00+00:00,1.0,1.0,20,6
2024-11-17 00:00:00+00:00,1.0,1.0,29,7
2024-11-18 00:00:00+00:00,2.0,1.0,61,16
2024-11-19 00:00:00+00:00,1.0,1.0,85,20
2024-11-20 00:00:00+00:00,10.0,3.0,79,18
2024-11-21 00:00:00+00:00,4.0,4.0,22,15
2024-11-22 00:00:00+00:00,,,5,3
