time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-11-13 00:00:00+00:00,1.0,1.0,26,11
2024-11-14 00:00:00+00:00,,,29,12
2024-11-15 00:00:00+00:00,1.0,1.0,26,12
2024-11-16 00:00:00+00:00,1.0,1.0,20,6
2024-11-17 00:00:00+00:00,1.0,1.0,29,7
2024-11-18 00:00:00+00:00,2.0,1.0,61,16
2024-11-19 00:00:00+00:00,1.0,1.0,85,20
2024-11-20 00:00:00+00:00,10.0,3.0,79,18
2024-11-21 00:00:00+00:00,4.0,4.0,22,15
2024-11-22 00:00:00+00:00,5.0,1.0,15,11
2024-11-23 00:00:00+00:00,2.0,1.0,63,9
2024-11-24 00:00:00+00:00,,,46,9
2024-11-25 00:00:00+00:00,,,106,18
2024-11-26 00:00:00+00:00,13.0,6.0,65,15
2024-11-27 00:00:00+00:00,1.0,1.0,4,2
