time_iso8601,clones_total,clones_unique,views_total,views_unique
2021-06-24 00:00:00+00:00,18,3,2,2
2021-06-25 00:00:00+00:00,44,5,51,3
2021-06-26 00:00:00+00:00,9,3,0,0
2021-06-27 00:00:00+00:00,9,9,2,2
2021-06-28 00:00:00+00:00,18,14,1,1
2021-06-29 00:00:00+00:00,48,25,8,3
2021-06-30 00:00:00+00:00,40,14,9,3
2021-07-01 00:00:00+00:00,42,23,1,1
2021-07-02 00:00:00+00:00,15,6,2,2
2021-07-03 00:00:00+00:00,4,4,0,0
2021-07-05 00:00:00+00:00,4,4,3,3
2021-07-06 00:00:00+00:00,21,15,2,2
2021-07-07 00:00:00+00:00,24,17,0,0
2021-07-08 00:00:00+00:00,21,17,0,0
2021-07-09 00:00:00+00:00,29,18,0,0
2021-07-11 00:00:00+00:00,5,3,2,1
2021-07-12 00:00:00+00:00,13,12,9,1
2021-07-13 00:00:00+00:00,44,22,0,0
2021-07-14 00:00:00+00:00,41,27,20,1
2021-07-15 00:00:00+00:00,37,26,17,3
2021-07-16 00:00:00+00:00,20,16,4,3
2021-07-17 00:00:00+00:00,1,1,0,0
2021-07-18 00:00:00+00:00,4,4,1,1
2021-07-19 00:00:00+00:00,8,8,1,1
2021-07-20 00:00:00+00:00,44,25,3,2
2021-07-21 00:00:00+00:00,44,27,0,0
2021-07-22 00:00:00+00:00,27,21,13,4
2021-07-23 00:00:00+00:00,48,27,129,9
2021-07-24 00:00:00+00:00,7,7,31,3
2021-07-25 00:00:00+00:00,15,11,0,0
2021-07-26 00:00:00+00:00,36,24,33,3
2021-07-27 00:00:00+00:00,38,24,0,0
2021-07-28 00:00:00+00:00,30,20,16,4
2021-07-29 00:00:00+00:00,16,14,1,1
2021-07-30 00:00:00+00:00,25,7,0,0
2021-07-31 00:00:00+00:00,3,3,0,0
2021-08-01 00:00:00+00:00,2,2,14,2
2021-08-02 00:00:00+00:00,20,16,22,4
2021-08-03 00:00:00+00:00,63,29,26,6
2021-08-04 00:00:00+00:00,57,31,28,6
2021-08-05 00:00:00+00:00,37,25,77,11
2021-08-06 00:00:00+00:00,24,22,15,3
2021-08-07 00:00:00+00:00,12,10,4,1
2021-08-08 00:00:00+00:00,13,11,12,2
2021-08-09 00:00:00+00:00,21,15,47,7
2021-08-10 00:00:00+00:00,41,26,5,3
2021-08-11 00:00:00+00:00,62,25,13,4
2021-08-12 00:00:00+00:00,36,25,5,3
2021-08-13 00:00:00+00:00,10,8,3,2
2021-08-14 00:00:00+00:00,1,1,37,2
2021-08-16 00:00:00+00:00,12,9,1,1
2021-08-17 00:00:00+00:00,30,23,1,1
2021-08-18 00:00:00+00:00,37,20,0,0
2021-08-19 00:00:00+00:00,59,30,9,3
2021-08-20 00:00:00+00:00,32,23,0,0
2021-08-21 00:00:00+00:00,23,18,2,2
2021-08-22 00:00:00+00:00,11,10,46,2
2021-08-23 00:00:00+00:00,16,14,41,7
2021-08-24 00:00:00+00:00,37,19,10,4
2021-08-25 00:00:00+00:00,33,22,16,3
2021-08-26 00:00:00+00:00,25,18,11,1
2021-08-27 00:00:00+00:00,21,14,1,1
2021-08-28 00:00:00+00:00,9,4,15,6
2021-08-29 00:00:00+00:00,0,0,17,3
2021-08-30 00:00:00+00:00,25,18,32,6
2021-08-31 00:00:00+00:00,43,24,0,0
2021-09-01 00:00:00+00:00,59,30,45,11
2021-09-02 00:00:00+00:00,48,23,4,2
2021-09-03 00:00:00+00:00,47,29,26,10
2021-09-04 00:00:00+00:00,21,14,2,2
2021-09-05 00:00:00+00:00,7,6,3,2
2021-09-06 00:00:00+00:00,13,12,1,1
2021-09-07 00:00:00+00:00,9,9,31,9
2021-09-08 00:00:00+00:00,27,21,50,12
2021-09-09 00:00:00+00:00,54,27,34,5
2021-09-10 00:00:00+00:00,43,25,0,0
2021-09-11 00:00:00+00:00,1,1,1,1
2021-09-12 00:00:00+00:00,8,8,1,1
2021-09-13 00:00:00+00:00,21,17,5,4
2021-09-14 00:00:00+00:00,24,16,6,1
2021-09-15 00:00:00+00:00,34,21,2,2
2021-09-16 00:00:00+00:00,31,20,21,2
2021-09-17 00:00:00+00:00,36,22,1,1
2021-09-18 00:00:00+00:00,14,11,0,0
2021-09-19 00:00:00+00:00,11,9,10,2
2021-09-20 00:00:00+00:00,24,20,0,0
2021-09-21 00:00:00+00:00,46,28,1,1
2021-09-22 00:00:00+00:00,39,24,1,1
2021-09-23 00:00:00+00:00,41,27,2,1
2021-09-24 00:00:00+00:00,31,19,8,4
2021-09-25 00:00:00+00:00,28,18,14,1
2021-09-26 00:00:00+00:00,1,1,0,0
2021-09-27 00:00:00+00:00,29,21,2,2
2021-09-28 00:00:00+00:00,60,28,0,0
2021-09-29 00:00:00+00:00,45,28,3,2
2021-09-30 00:00:00+00:00,37,19,1,1
2021-10-01 00:00:00+00:00,53,26,3,1
2021-10-02 00:00:00+00:00,24,19,13,1
2021-10-03 00:00:00+00:00,4,4,0,0
2021-10-04 00:00:00+00:00,26,19,6,2
2021-10-05 00:00:00+00:00,45,25,0,0
2021-10-06 00:00:00+00:00,36,21,8,5
2021-10-07 00:00:00+00:00,32,19,15,2
2021-10-08 00:00:00+00:00,37,22,11,5
2021-10-09 00:00:00+00:00,13,11,17,1
2021-10-10 00:00:00+00:00,2,2,0,0
2021-10-11 00:00:00+00:00,30,19,1,1
2021-10-12 00:00:00+00:00,46,26,0,0
2021-10-13 00:00:00+00:00,37,19,2,2
2021-10-14 00:00:00+00:00,38,27,3,2
2021-10-15 00:00:00+00:00,49,29,0,0
2021-10-16 00:00:00+00:00,35,21,10,3
2021-10-17 00:00:00+00:00,1,1,0,0
2021-10-18 00:00:00+00:00,23,18,7,2
2021-10-19 00:00:00+00:00,68,24,44,6
2021-10-20 00:00:00+00:00,90,25,1,1
2021-10-21 00:00:00+00:00,240,30,43,4
2021-10-22 00:00:00+00:00,116,18,0,0
2021-10-23 00:00:00+00:00,102,21,5,2
2021-10-24 00:00:00+00:00,71,14,2,1
2021-10-25 00:00:00+00:00,152,27,7,2
2021-10-26 00:00:00+00:00,102,26,45,6
2021-10-27 00:00:00+00:00,49,23,10,5
2021-10-28 00:00:00+00:00,78,31,48,5
2021-10-29 00:00:00+00:00,85,31,43,6
2021-10-30 00:00:00+00:00,31,22,5,5
2021-10-31 00:00:00+00:00,18,12,0,0
2021-11-01 00:00:00+00:00,37,25,22,6
2021-11-02 00:00:00+00:00,59,29,6,5
2021-11-03 00:00:00+00:00,46,23,16,7
2021-11-04 00:00:00+00:00,52,26,25,6
2021-11-05 00:00:00+00:00,47,26,9,4
2021-11-06 00:00:00+00:00,16,13,1,1
2021-11-07 00:00:00+00:00,13,11,1,1
2021-11-08 00:00:00+00:00,25,17,1,1
2021-11-09 00:00:00+00:00,42,27,0,0
2021-11-10 00:00:00+00:00,51,26,12,1
2021-11-11 00:00:00+00:00,64,28,0,0
2021-11-12 00:00:00+00:00,66,28,3,2
2021-11-13 00:00:00+00:00,28,21,0,0
2021-11-14 00:00:00+00:00,4,3,1,1
2021-11-15 00:00:00+00:00,47,29,4,2
2021-11-16 00:00:00+00:00,63,27,4,2
2021-11-17 00:00:00+00:00,21,16,0,0
2021-11-18 00:00:00+00:00,42,27,15,2
2021-11-19 00:00:00+00:00,62,26,2,2
2021-11-20 00:00:00+00:00,14,13,0,0
2021-11-21 00:00:00+00:00,22,17,0,0
2021-11-22 00:00:00+00:00,37,25,0,0
2021-11-23 00:00:00+00:00,43,24,22,2
2021-11-24 00:00:00+00:00,18,15,0,0
2021-11-25 00:00:00+00:00,33,21,1,1
2021-11-26 00:00:00+00:00,4,4,3,1
2021-11-27 00:00:00+00:00,1,1,0,0
2021-11-28 00:00:00+00:00,2,2,12,2
2021-11-29 00:00:00+00:00,21,18,1,1
2021-11-30 00:00:00+00:00,47,24,1,1
2021-12-01 00:00:00+00:00,29,17,0,0
2021-12-02 00:00:00+00:00,41,21,5,2
2021-12-03 00:00:00+00:00,33,19,0,0
