time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-01-17 00:00:00+00:00,51.0,5.0,114,36
2025-01-18 00:00:00+00:00,1.0,1.0,46,7
2025-01-19 00:00:00+00:00,3.0,3.0,22,13
2025-01-20 00:00:00+00:00,1.0,1.0,121,36
2025-01-21 00:00:00+00:00,4.0,4.0,164,44
2025-01-22 00:00:00+00:00,3.0,2.0,192,45
2025-01-23 00:00:00+00:00,2.0,2.0,144,51
2025-01-24 00:00:00+00:00,,,147,29
2025-01-25 00:00:00+00:00,,,38,17
2025-01-26 00:00:00+00:00,1.0,1.0,47,12
2025-01-27 00:00:00+00:00,3.0,3.0,83,32
2025-01-28 00:00:00+00:00,3.0,3.0,152,45
2025-01-29 00:00:00+00:00,1.0,1.0,78,28
2025-01-30 00:00:00+00:00,8.0,6.0,158,45
