time_iso8601,clones_total,clones_unique,views_total,views_unique
2021-07-08 00:00:00+00:00,67,45,9,2
2024-11-20 00:00:00+00:00,40,15,1,1
2024-11-21 00:00:00+00:00,105,15,0,0
2024-11-22 00:00:00+00:00,121,21,0,0
2024-11-23 00:00:00+00:00,133,22,0,0
2024-11-24 00:00:00+00:00,136,21,0,0
2024-11-25 00:00:00+00:00,88,26,0,0
2024-11-26 00:00:00+00:00,112,18,0,0
2024-11-27 00:00:00+00:00,84,16,0,0
2024-11-28 00:00:00+00:00,71,20,0,0
2024-11-29 00:00:00+00:00,109,29,0,0
2024-11-30 00:00:00+00:00,147,25,2,1
2024-12-01 00:00:00+00:00,121,17,0,0
2024-12-02 00:00:00+00:00,91,30,0,0
2024-12-03 00:00:00+00:00,103,28,5,3
2024-12-04 00:00:00+00:00,118,25,1,1
2024-12-05 00:00:00+00:00,75,17,0,0
2024-12-06 00:00:00+00:00,114,23,0,0
2024-12-07 00:00:00+00:00,116,18,0,0
2024-12-08 00:00:00+00:00,97,14,0,0
2024-12-09 00:00:00+00:00,97,22,1,1
2024-12-10 00:00:00+00:00,56,11,0,0
2024-12-11 00:00:00+00:00,56,20,0,0
2024-12-12 00:00:00+00:00,82,19,1,1
2024-12-13 00:00:00+00:00,71,16,0,0
2024-12-14 00:00:00+00:00,148,18,0,0
2024-12-15 00:00:00+00:00,76,18,0,0
2024-12-16 00:00:00+00:00,115,16,0,0
2024-12-17 00:00:00+00:00,79,16,0,0
2024-12-18 00:00:00+00:00,51,16,0,0
2024-12-19 00:00:00+00:00,156,34,0,0
2024-12-20 00:00:00+00:00,93,24,0,0
2024-12-21 00:00:00+00:00,176,31,0,0
2024-12-22 00:00:00+00:00,159,26,0,0
2024-12-23 00:00:00+00:00,101,22,0,0
2024-12-24 00:00:00+00:00,144,26,0,0
2024-12-25 00:00:00+00:00,155,33,0,0
2024-12-26 00:00:00+00:00,125,24,0,0
2024-12-27 00:00:00+00:00,148,25,0,0
2024-12-28 00:00:00+00:00,124,29,0,0
2024-12-29 00:00:00+00:00,107,25,2,1
2024-12-30 00:00:00+00:00,142,29,37,1
2024-12-31 00:00:00+00:00,117,21,26,2
2025-01-01 00:00:00+00:00,119,25,0,0
2025-01-02 00:00:00+00:00,139,37,2,1
2025-01-03 00:00:00+00:00,110,42,0,0
2025-01-04 00:00:00+00:00,103,23,0,0
2025-01-05 00:00:00+00:00,134,23,1,1
2025-01-06 00:00:00+00:00,119,30,0,0
2025-01-07 00:00:00+00:00,82,25,3,3
2025-01-08 00:00:00+00:00,112,33,0,0
2025-01-09 00:00:00+00:00,118,27,1,1
2025-01-10 00:00:00+00:00,99,28,0,0
2025-01-11 00:00:00+00:00,155,28,0,0
2025-01-12 00:00:00+00:00,147,32,0,0
2025-01-13 00:00:00+00:00,115,27,0,0
2025-01-14 00:00:00+00:00,105,24,0,0
2025-01-15 00:00:00+00:00,137,25,0,0
2025-01-16 00:00:00+00:00,96,27,6,1
2025-01-17 00:00:00+00:00,130,26,1,1
2025-01-18 00:00:00+00:00,150,21,0,0
2025-01-19 00:00:00+00:00,132,30,0,0
2025-01-20 00:00:00+00:00,124,30,2,1
2025-01-21 00:00:00+00:00,105,29,0,0
2025-01-22 00:00:00+00:00,122,32,0,0
2025-01-23 00:00:00+00:00,130,32,0,0
2025-01-24 00:00:00+00:00,102,20,0,0
2025-01-25 00:00:00+00:00,129,25,0,0
2025-01-26 00:00:00+00:00,171,31,0,0
2025-01-27 00:00:00+00:00,90,26,1,1
2025-01-28 00:00:00+00:00,98,23,16,2
2025-01-29 00:00:00+00:00,156,31,0,0
2025-01-30 00:00:00+00:00,239,100,18,1
2025-01-31 00:00:00+00:00,375,132,0,0
2025-02-01 00:00:00+00:00,415,136,2,1
2025-02-02 00:00:00+00:00,330,118,1,1
2025-02-03 00:00:00+00:00,347,141,0,0
2025-02-04 00:00:00+00:00,297,134,27,1
2025-02-05 00:00:00+00:00,283,111,13,2
2025-02-06 00:00:00+00:00,368,141,0,0
2025-02-07 00:00:00+00:00,287,122,1,1
2025-02-08 00:00:00+00:00,356,123,1,1
2025-02-09 00:00:00+00:00,453,156,0,0
2025-02-10 00:00:00+00:00,258,121,0,0
2025-02-11 00:00:00+00:00,262,117,3,1
2025-02-12 00:00:00+00:00,359,154,0,0
2025-02-13 00:00:00+00:00,225,111,0,0
2025-02-14 00:00:00+00:00,299,121,1,1
2025-02-15 00:00:00+00:00,451,153,0,0
2025-02-16 00:00:00+00:00,325,116,0,0
2025-02-17 00:00:00+00:00,272,124,0,0
2025-02-18 00:00:00+00:00,349,138,0,0
2025-02-19 00:00:00+00:00,314,116,2,2
2025-02-20 00:00:00+00:00,315,140,0,0
2025-02-21 00:00:00+00:00,301,126,0,0
2025-02-22 00:00:00+00:00,349,124,2,2
2025-02-23 00:00:00+00:00,482,154,0,0
2025-02-24 00:00:00+00:00,251,113,0,0
2025-02-25 00:00:00+00:00,279,118,1,1
2025-02-26 00:00:00+00:00,399,145,1,1
2025-02-27 00:00:00+00:00,306,120,1,1
2025-02-28 00:00:00+00:00,307,118,0,0
2025-03-01 00:00:00+00:00,465,156,0,0
2025-03-02 00:00:00+00:00,368,124,4,2
2025-03-03 00:00:00+00:00,282,127,4,1
2025-03-04 00:00:00+00:00,341,142,3,1
2025-03-05 00:00:00+00:00,275,113,6,2
2025-03-06 00:00:00+00:00,354,144,5,2
2025-03-07 00:00:00+00:00,246,113,1,1
2025-03-08 00:00:00+00:00,255,105,0,0
2025-03-09 00:00:00+00:00,397,142,0,0
2025-03-10 00:00:00+00:00,235,113,9,2
2025-03-11 00:00:00+00:00,243,116,0,0
2025-03-12 00:00:00+00:00,292,141,1,1
2025-03-13 00:00:00+00:00,252,114,0,0
2025-03-14 00:00:00+00:00,318,134,0,0
2025-03-15 00:00:00+00:00,359,126,0,0
2025-03-16 00:00:00+00:00,270,113,0,0
2025-03-17 00:00:00+00:00,269,143,0,0
2025-03-18 00:00:00+00:00,178,107,0,0
2025-03-19 00:00:00+00:00,221,123,0,0
2025-03-20 00:00:00+00:00,403,179,0,0
2025-03-21 00:00:00+00:00,249,134,0,0
2025-03-22 00:00:00+00:00,330,141,0,0
2025-03-23 00:00:00+00:00,320,142,1,1
2025-03-24 00:00:00+00:00,242,122,3,1
2025-03-25 00:00:00+00:00,323,167,0,0
2025-03-26 00:00:00+00:00,241,107,0,0
2025-03-27 00:00:00+00:00,213,113,0,0
