time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-03-02 00:00:00+00:00,2,1,0,0
2023-03-12 00:00:00+00:00,1,1,0,0
2023-03-14 00:00:00+00:00,1,1,0,0
2023-03-16 00:00:00+00:00,1,1,0,0
2023-03-22 00:00:00+00:00,1,1,0,0
2023-03-24 00:00:00+00:00,0,0,1,1
2023-04-03 00:00:00+00:00,0,0,1,1
2023-04-09 00:00:00+00:00,1,1,0,0
2023-04-14 00:00:00+00:00,0,0,2,1
2023-04-17 00:00:00+00:00,0,0,4,1
2023-05-06 00:00:00+00:00,1,1,0,0
2023-05-11 00:00:00+00:00,1,1,0,0
2023-05-18 00:00:00+00:00,0,0,1,1
2023-05-23 00:00:00+00:00,0,0,1,1
2023-06-12 00:00:00+00:00,0,0,1,1
2023-06-19 00:00:00+00:00,2,2,0,0
2023-06-21 00:00:00+00:00,2,1,0,0
2023-06-29 00:00:00+00:00,0,0,1,1
2023-07-07 00:00:00+00:00,1,1,0,0
2023-07-28 00:00:00+00:00,2,1,1,1
2023-07-29 00:00:00+00:00,0,0,2,2
2023-07-30 00:00:00+00:00,1,1,0,0
2023-08-01 00:00:00+00:00,0,0,1,1
2023-08-02 00:00:00+00:00,1,1,3,3
2023-08-03 00:00:00+00:00,0,0,1,1
2023-08-04 00:00:00+00:00,0,0,1,1
2023-08-05 00:00:00+00:00,0,0,2,2
2023-08-08 00:00:00+00:00,0,0,1,1
2023-08-09 00:00:00+00:00,0,0,1,1
2023-08-10 00:00:00+00:00,1,1,0,0
2023-08-13 00:00:00+00:00,0,0,1,1
2023-08-15 00:00:00+00:00,0,0,2,2
2023-08-16 00:00:00+00:00,0,0,2,2
2023-08-17 00:00:00+00:00,0,0,1,1
2023-08-20 00:00:00+00:00,0,0,3,3
2023-08-21 00:00:00+00:00,0,0,1,1
2023-08-22 00:00:00+00:00,0,0,1,1
2023-08-24 00:00:00+00:00,2,1,0,0
2023-09-03 00:00:00+00:00,0,0,2,1
2023-10-08 00:00:00+00:00,1,1,0,0
2023-10-09 00:00:00+00:00,2,1,0,0
2023-11-05 00:00:00+00:00,0,0,1,1
2023-11-09 00:00:00+00:00,0,0,1,1
