time_iso8601,forks_cumulative
2021-06-03 00:00:00+00:00,1
2021-08-31 00:00:00+00:00,2
2022-02-04 00:00:00+00:00,3
2022-02-14 00:00:00+00:00,4
2022-02-16 00:00:00+00:00,5
2022-03-14 00:00:00+00:00,6
2022-05-10 00:00:00+00:00,7
2022-08-03 00:00:00+00:00,8
2022-09-12 00:00:00+00:00,9
2022-10-14 00:00:00+00:00,10
2023-03-02 00:00:00+00:00,11
2023-03-22 00:00:00+00:00,12
2023-03-27 00:00:00+00:00,13
2023-05-26 00:00:00+00:00,14
2023-06-08 00:00:00+00:00,15
2023-07-05 00:00:00+00:00,16
2023-07-31 00:00:00+00:00,17
2023-11-16 00:00:00+00:00,18
2024-09-17 00:00:00+00:00,19
2024-11-25 00:00:00+00:00,20
2025-01-08 00:00:00+00:00,21
2025-05-28 00:00:00+00:00,22
2025-07-08 00:00:00+00:00,23
2025-08-27 00:00:00+00:00,24
2025-09-02 00:00:00+00:00,25
2025-10-01 00:00:00+00:00,26
