time_iso8601,forks_cumulative
2017-10-16 00:00:00+00:00,1
2017-12-01 00:00:00+00:00,2
2018-01-31 00:00:00+00:00,3
2018-02-14 00:00:00+00:00,4
2018-07-17 00:00:00+00:00,5
2018-08-09 00:00:00+00:00,6
2018-08-23 00:00:00+00:00,7
2018-09-11 00:00:00+00:00,8
2019-02-06 00:00:00+00:00,9
2019-02-08 00:00:00+00:00,10
2019-06-08 00:00:00+00:00,11
2019-08-07 00:00:00+00:00,12
2020-04-29 00:00:00+00:00,13
2020-12-09 00:00:00+00:00,14
2021-10-13 00:00:00+00:00,15
2021-10-26 00:00:00+00:00,16
2022-06-07 00:00:00+00:00,17
2022-06-30 00:00:00+00:00,18
