time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-09-01 00:00:00+00:00,2,2,16.0,1.0
2024-09-02 00:00:00+00:00,3,3,1.0,1.0
2024-09-03 00:00:00+00:00,2,2,6.0,4.0
2024-09-04 00:00:00+00:00,2,1,2.0,2.0
2024-09-05 00:00:00+00:00,6,6,,
2024-09-06 00:00:00+00:00,11,6,29.0,1.0
2024-09-08 00:00:00+00:00,15,6,,
2024-09-09 00:00:00+00:00,3,3,61.0,2.0
2024-09-10 00:00:00+00:00,22,8,1.0,1.0
2024-09-11 00:00:00+00:00,3,3,1.0,1.0
2024-09-12 00:00:00+00:00,10,4,9.0,2.0
2024-09-13 00:00:00+00:00,1,1,3.0,2.0
2024-09-14 00:00:00+00:00,1,1,,
