time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-03-08 00:00:00+00:00,124,8,337,10
2023-03-09 00:00:00+00:00,78,9,348,20
2023-03-10 00:00:00+00:00,35,6,129,15
2023-03-11 00:00:00+00:00,2,1,39,4
2023-03-12 00:00:00+00:00,0,0,27,2
2023-03-13 00:00:00+00:00,62,7,72,10
2023-03-14 00:00:00+00:00,58,4,40,7
2023-03-15 00:00:00+00:00,60,5,3,2
2023-03-16 00:00:00+00:00,44,3,1,1
2023-03-17 00:00:00+00:00,85,4,25,5
2023-03-18 00:00:00+00:00,14,3,5,2
2023-03-19 00:00:00+00:00,1,1,3,3
2023-03-20 00:00:00+00:00,28,2,15,3
2023-03-21 00:00:00+00:00,25,4,21,4
2023-03-22 00:00:00+00:00,0,0,17,5
2023-03-23 00:00:00+00:00,6,2,30,7
2023-03-24 00:00:00+00:00,2,1,33,4
2023-03-25 00:00:00+00:00,1,1,1,1
2023-03-26 00:00:00+00:00,1,1,3,1
2023-03-27 00:00:00+00:00,5,4,40,6
2023-03-28 00:00:00+00:00,6,2,27,4
2023-03-29 00:00:00+00:00,0,0,7,4
2023-03-30 00:00:00+00:00,4,2,4,2
2023-03-31 00:00:00+00:00,0,0,4,2
2023-04-02 00:00:00+00:00,0,0,4,1
