time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-11-20 00:00:00+00:00,0,0,4,2
2024-11-22 00:00:00+00:00,1,1,0,0
2024-11-27 00:00:00+00:00,0,0,1,1
2024-12-02 00:00:00+00:00,0,0,2,2
2024-12-03 00:00:00+00:00,0,0,1,1
2024-12-05 00:00:00+00:00,0,0,1,1
2024-12-11 00:00:00+00:00,0,0,1,1
2024-12-12 00:00:00+00:00,1,1,0,0
2024-12-17 00:00:00+00:00,0,0,5,1
2024-12-18 00:00:00+00:00,0,0,1,1
2024-12-20 00:00:00+00:00,0,0,1,1
2024-12-26 00:00:00+00:00,1,1,0,0
2025-01-05 00:00:00+00:00,0,0,1,1
2025-01-14 00:00:00+00:00,0,0,2,1
2025-01-16 00:00:00+00:00,0,0,3,1
2025-01-17 00:00:00+00:00,0,0,11,1
2025-01-19 00:00:00+00:00,0,0,2,1
2025-01-20 00:00:00+00:00,0,0,17,2
2025-01-21 00:00:00+00:00,0,0,2,2
2025-01-22 00:00:00+00:00,0,0,1,1
2025-01-25 00:00:00+00:00,0,0,2,1
2025-02-01 00:00:00+00:00,0,0,1,1
2025-02-05 00:00:00+00:00,0,0,1,1
2025-02-06 00:00:00+00:00,1,1,0,0
2025-02-07 00:00:00+00:00,1,1,0,0
2025-02-08 00:00:00+00:00,0,0,10,2
2025-02-11 00:00:00+00:00,1,1,0,0
