time_iso8601,clones_total,clones_unique,views_total,views_unique
2021-06-24 00:00:00+00:00,0,0,30,3
2021-06-25 00:00:00+00:00,4,4,30,10
2021-06-26 00:00:00+00:00,0,0,4,3
2021-06-27 00:00:00+00:00,0,0,2,1
2021-06-28 00:00:00+00:00,4,4,42,11
2021-06-29 00:00:00+00:00,2,2,50,17
2021-06-30 00:00:00+00:00,1,1,79,14
2021-07-01 00:00:00+00:00,5,3,82,22
2021-07-02 00:00:00+00:00,1,1,19,9
2021-07-04 00:00:00+00:00,0,0,1,1
2021-07-05 00:00:00+00:00,0,0,3,3
2021-07-06 00:00:00+00:00,6,5,57,12
2021-07-07 00:00:00+00:00,0,0,81,13
2021-07-08 00:00:00+00:00,2,2,18,8
2021-07-09 00:00:00+00:00,0,0,17,9
2021-07-10 00:00:00+00:00,0,0,3,2
2021-07-11 00:00:00+00:00,0,0,7,3
2021-07-12 00:00:00+00:00,0,0,31,9
2021-07-13 00:00:00+00:00,2,2,35,6
2021-07-14 00:00:00+00:00,2,2,13,6
2021-07-15 00:00:00+00:00,0,0,4,3
2021-07-16 00:00:00+00:00,0,0,2,2
2021-07-17 00:00:00+00:00,0,0,3,3
2021-07-18 00:00:00+00:00,1,1,1,1
2021-07-19 00:00:00+00:00,1,1,30,7
2021-07-20 00:00:00+00:00,0,0,9,7
2021-07-21 00:00:00+00:00,0,0,20,6
2021-07-22 00:00:00+00:00,1,1,12,7
2021-07-23 00:00:00+00:00,0,0,6,2
2021-07-24 00:00:00+00:00,0,0,5,2
2021-07-25 00:00:00+00:00,0,0,1,1
2021-07-26 00:00:00+00:00,0,0,19,14
2021-07-27 00:00:00+00:00,1,1,14,7
2021-07-28 00:00:00+00:00,0,0,53,10
2021-07-29 00:00:00+00:00,0,0,8,5
2021-07-30 00:00:00+00:00,0,0,2,1
2021-08-01 00:00:00+00:00,0,0,2,2
2021-08-02 00:00:00+00:00,0,0,16,13
2021-08-03 00:00:00+00:00,1,1,26,5
2021-08-04 00:00:00+00:00,1,1,66,19
2021-08-05 00:00:00+00:00,3,3,72,11
2021-08-06 00:00:00+00:00,1,1,54,9
2021-08-07 00:00:00+00:00,1,1,236,3
2021-08-08 00:00:00+00:00,0,0,5,3
2021-08-09 00:00:00+00:00,1,1,33,10
2021-08-10 00:00:00+00:00,2,2,27,9
2021-08-11 00:00:00+00:00,2,2,78,13
2021-08-12 00:00:00+00:00,2,2,18,5
2021-08-13 00:00:00+00:00,1,1,2,1
2021-08-15 00:00:00+00:00,1,1,0,0
2021-08-16 00:00:00+00:00,0,0,1,1
2021-08-17 00:00:00+00:00,0,0,25,6
2021-08-18 00:00:00+00:00,0,0,4,2
2021-08-19 00:00:00+00:00,0,0,4,2
2021-08-20 00:00:00+00:00,1,1,14,5
2021-08-22 00:00:00+00:00,0,0,3,1
2021-08-23 00:00:00+00:00,0,0,13,4
2021-08-24 00:00:00+00:00,0,0,3,3
2021-08-25 00:00:00+00:00,0,0,12,7
2021-08-26 00:00:00+00:00,0,0,17,6
2021-08-27 00:00:00+00:00,1,1,1,1
2021-08-28 00:00:00+00:00,0,0,3,3
2021-08-29 00:00:00+00:00,0,0,1,1
2021-08-30 00:00:00+00:00,1,1,7,2
2021-08-31 00:00:00+00:00,0,0,27,4
2021-09-01 00:00:00+00:00,0,0,5,3
2021-09-02 00:00:00+00:00,1,1,54,7
2021-09-03 00:00:00+00:00,0,0,8,5
2021-09-06 00:00:00+00:00,0,0,3,3
2021-09-07 00:00:00+00:00,3,3,8,6
2021-09-08 00:00:00+00:00,0,0,11,5
2021-09-09 00:00:00+00:00,0,0,15,9
2021-09-10 00:00:00+00:00,0,0,5,3
2021-09-11 00:00:00+00:00,0,0,9,4
2021-09-12 00:00:00+00:00,1,1,2,1
2021-09-13 00:00:00+00:00,0,0,16,2
2021-09-14 00:00:00+00:00,0,0,26,7
2021-09-15 00:00:00+00:00,1,1,41,4
2021-09-16 00:00:00+00:00,1,1,13,6
2021-09-18 00:00:00+00:00,0,0,2,2
2021-09-19 00:00:00+00:00,0,0,1,1
2021-09-20 00:00:00+00:00,1,1,10,5
