time_iso8601,forks_cumulative
2020-09-15 00:00:00+00:00,1
2020-09-17 00:00:00+00:00,2
2020-10-21 00:00:00+00:00,3
2020-10-26 00:00:00+00:00,4
2020-12-27 00:00:00+00:00,5
2021-01-15 00:00:00+00:00,6
2021-02-03 00:00:00+00:00,7
2021-02-16 00:00:00+00:00,8
2021-05-12 00:00:00+00:00,9
2021-05-22 00:00:00+00:00,10
2021-10-13 00:00:00+00:00,11
2021-11-17 00:00:00+00:00,12
2021-12-06 00:00:00+00:00,13
2022-01-13 00:00:00+00:00,14
2022-01-26 00:00:00+00:00,15
2022-02-08 00:00:00+00:00,16
2022-02-23 00:00:00+00:00,17
2022-04-20 00:00:00+00:00,18
2022-04-27 00:00:00+00:00,19
2022-05-18 00:00:00+00:00,21
2022-05-19 00:00:00+00:00,22
2022-06-04 00:00:00+00:00,23
2022-07-11 00:00:00+00:00,24
2022-08-25 00:00:00+00:00,25
2022-09-21 00:00:00+00:00,26
2022-09-27 00:00:00+00:00,27
2022-10-14 00:00:00+00:00,29
2022-11-26 00:00:00+00:00,30
2023-02-03 00:00:00+00:00,31
2023-04-07 00:00:00+00:00,32
2023-04-17 00:00:00+00:00,33
2023-06-24 00:00:00+00:00,34
2023-07-08 00:00:00+00:00,35
2023-07-09 00:00:00+00:00,36
2023-08-03 00:00:00+00:00,37
