time_iso8601,clones_total,clones_unique,views_total,views_unique
2021-10-12 00:00:00+00:00,3,3,91,32
2021-10-13 00:00:00+00:00,7,5,120,41
2021-10-14 00:00:00+00:00,6,6,80,35
2021-10-15 00:00:00+00:00,3,3,52,26
2021-10-16 00:00:00+00:00,2,2,60,23
2021-10-17 00:00:00+00:00,3,3,36,17
2021-10-18 00:00:00+00:00,7,7,166,53
2021-10-19 00:00:00+00:00,2,2,181,43
2021-10-20 00:00:00+00:00,2,1,144,33
2021-10-21 00:00:00+00:00,19,9,125,30
2021-10-22 00:00:00+00:00,6,5,125,28
2021-10-23 00:00:00+00:00,15,4,31,14
2021-10-24 00:00:00+00:00,10,5,40,11
2021-10-25 00:00:00+00:00,4,2,30,21
