time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-01-10 00:00:00+00:00,10,9,0,0
2023-01-11 00:00:00+00:00,21,15,13,4
2023-01-12 00:00:00+00:00,19,17,4,2
2023-01-13 00:00:00+00:00,14,11,1,1
2023-01-14 00:00:00+00:00,10,9,0,0
2023-01-15 00:00:00+00:00,12,11,1,1
2023-01-16 00:00:00+00:00,30,12,1,1
2023-01-17 00:00:00+00:00,29,14,8,3
2023-01-18 00:00:00+00:00,10,9,10,2
2023-01-19 00:00:00+00:00,10,9,2,2
2023-01-20 00:00:00+00:00,20,12,5,1
2023-01-21 00:00:00+00:00,11,9,0,0
2023-01-22 00:00:00+00:00,13,10,0,0
2023-01-23 00:00:00+00:00,11,10,1,1
2023-01-24 00:00:00+00:00,19,16,1,1
2023-01-25 00:00:00+00:00,12,10,4,2
2023-01-26 00:00:00+00:00,20,14,3,2
2023-01-27 00:00:00+00:00,10,9,0,0
2023-01-28 00:00:00+00:00,10,9,0,0
2023-01-29 00:00:00+00:00,11,10,19,1
2023-01-30 00:00:00+00:00,15,14,6,1
2023-01-31 00:00:00+00:00,17,15,7,4
2023-02-01 00:00:00+00:00,20,16,2,2
2023-02-02 00:00:00+00:00,20,15,2,2
2023-02-03 00:00:00+00:00,21,18,4,2
2023-02-04 00:00:00+00:00,10,9,0,0
2023-02-05 00:00:00+00:00,15,11,0,0
2023-02-06 00:00:00+00:00,23,11,8,3
2023-02-07 00:00:00+00:00,19,15,6,3
2023-02-08 00:00:00+00:00,13,12,2,2
2023-02-09 00:00:00+00:00,26,16,1,1
2023-02-10 00:00:00+00:00,16,13,0,0
2023-02-11 00:00:00+00:00,10,8,0,0
2023-02-12 00:00:00+00:00,42,15,3,1
2023-02-13 00:00:00+00:00,29,17,3,3
2023-02-14 00:00:00+00:00,26,14,0,0
2023-02-15 00:00:00+00:00,12,11,4,3
2023-02-16 00:00:00+00:00,25,15,6,3
2023-02-17 00:00:00+00:00,25,13,2,2
2023-02-18 00:00:00+00:00,11,10,0,0
2023-02-19 00:00:00+00:00,16,10,0,0
2023-02-20 00:00:00+00:00,39,14,2,2
2023-02-21 00:00:00+00:00,34,13,18,2
2023-02-22 00:00:00+00:00,19,16,4,3
2023-02-23 00:00:00+00:00,18,14,12,2
2023-02-24 00:00:00+00:00,16,11,13,4
2023-02-25 00:00:00+00:00,12,10,2,1
2023-02-26 00:00:00+00:00,16,9,3,1
2023-02-27 00:00:00+00:00,17,15,4,2
2023-02-28 00:00:00+00:00,18,16,34,4
2023-03-01 00:00:00+00:00,21,17,8,5
2023-03-02 00:00:00+00:00,26,16,12,2
2023-03-03 00:00:00+00:00,12,11,5,2
2023-03-04 00:00:00+00:00,11,10,0,0
2023-03-05 00:00:00+00:00,12,10,14,2
