time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-03-01 00:00:00+00:00,0,0,1,1
2023-03-02 00:00:00+00:00,2,1,0,0
2023-03-03 00:00:00+00:00,0,0,1,1
2023-03-06 00:00:00+00:00,0,0,1,1
2023-03-07 00:00:00+00:00,0,0,4,2
2023-03-09 00:00:00+00:00,0,0,2,2
2023-03-10 00:00:00+00:00,0,0,1,1
2023-03-13 00:00:00+00:00,0,0,6,5
2023-03-14 00:00:00+00:00,0,0,2,2
2023-03-15 00:00:00+00:00,0,0,1,1
2023-03-16 00:00:00+00:00,0,0,1,1
2023-03-23 00:00:00+00:00,0,0,2,2
2023-03-27 00:00:00+00:00,0,0,3,3
2023-03-28 00:00:00+00:00,0,0,3,2
2023-03-30 00:00:00+00:00,0,0,1,1
2023-03-31 00:00:00+00:00,0,0,3,3
2023-04-02 00:00:00+00:00,0,0,1,1
2023-04-04 00:00:00+00:00,0,0,4,1
2023-04-06 00:00:00+00:00,0,0,3,3
2023-04-07 00:00:00+00:00,0,0,9,2
2023-04-09 00:00:00+00:00,1,1,0,0
2023-04-10 00:00:00+00:00,0,0,1,1
2023-04-13 00:00:00+00:00,0,0,2,2
2023-04-18 00:00:00+00:00,0,0,1,1
2023-04-19 00:00:00+00:00,0,0,2,1
2023-04-21 00:00:00+00:00,0,0,1,1
2023-04-25 00:00:00+00:00,0,0,3,1
2023-05-03 00:00:00+00:00,0,0,1,1
2023-05-04 00:00:00+00:00,0,0,1,1
2023-05-05 00:00:00+00:00,0,0,6,3
2023-05-08 00:00:00+00:00,0,0,1,1
2023-05-11 00:00:00+00:00,0,0,5,4
2023-05-12 00:00:00+00:00,0,0,2,2
2023-05-14 00:00:00+00:00,1,1,0,0
2023-05-15 00:00:00+00:00,1,1,3,2
2023-05-18 00:00:00+00:00,0,0,2,2
2023-05-22 00:00:00+00:00,2,1,1,1
2023-05-25 00:00:00+00:00,0,0,1,1
2023-05-29 00:00:00+00:00,1,1,0,0
2023-05-30 00:00:00+00:00,0,0,2,2
2023-05-31 00:00:00+00:00,0,0,1,1
2023-06-01 00:00:00+00:00,0,0,1,1
2023-06-02 00:00:00+00:00,0,0,1,1
2023-06-05 00:00:00+00:00,0,0,1,1
2023-06-07 00:00:00+00:00,0,0,2,1
2023-06-08 00:00:00+00:00,0,0,6,2
2023-06-12 00:00:00+00:00,0,0,2,1
2023-06-14 00:00:00+00:00,0,0,1,1
2023-06-21 00:00:00+00:00,2,1,0,0
2023-06-23 00:00:00+00:00,1,1,0,0
2023-06-29 00:00:00+00:00,0,0,3,2
2023-06-30 00:00:00+00:00,1,1,0,0
2023-07-02 00:00:00+00:00,1,1,0,0
2023-07-03 00:00:00+00:00,0,0,4,1
2023-07-05 00:00:00+00:00,0,0,2,1
2023-07-10 00:00:00+00:00,0,0,1,1
2023-07-23 00:00:00+00:00,0,0,1,1
