time_iso8601,clones_total,clones_unique,views_total,views_unique
2021-06-24 00:00:00+00:00,30,2,0,0
2021-06-25 00:00:00+00:00,79,4,40,4
2021-06-26 00:00:00+00:00,27,5,30,6
2021-06-27 00:00:00+00:00,22,13,62,2
2021-06-28 00:00:00+00:00,44,20,78,8
2021-06-29 00:00:00+00:00,63,29,21,3
2021-06-30 00:00:00+00:00,63,24,26,3
2021-07-01 00:00:00+00:00,103,37,38,6
2021-07-02 00:00:00+00:00,44,13,17,3
2021-07-03 00:00:00+00:00,6,6,3,2
2021-07-05 00:00:00+00:00,8,7,7,2
2021-07-06 00:00:00+00:00,34,23,10,1
2021-07-07 00:00:00+00:00,41,23,1,1
2021-07-08 00:00:00+00:00,27,20,1,1
2021-07-09 00:00:00+00:00,57,20,1,1
2021-07-10 00:00:00+00:00,11,3,3,3
2021-07-11 00:00:00+00:00,15,7,6,2
2021-07-12 00:00:00+00:00,27,20,47,5
2021-07-13 00:00:00+00:00,101,31,105,5
2021-07-14 00:00:00+00:00,94,37,196,12
2021-07-15 00:00:00+00:00,87,37,288,11
2021-07-16 00:00:00+00:00,52,28,25,7
2021-07-17 00:00:00+00:00,2,2,1,1
2021-07-18 00:00:00+00:00,7,7,3,1
2021-07-19 00:00:00+00:00,13,12,6,3
2021-07-20 00:00:00+00:00,83,36,13,2
2021-07-21 00:00:00+00:00,67,33,4,1
2021-07-22 00:00:00+00:00,66,34,8,4
2021-07-23 00:00:00+00:00,76,31,15,3
2021-07-24 00:00:00+00:00,11,9,1,1
2021-07-25 00:00:00+00:00,31,22,0,0
2021-07-26 00:00:00+00:00,75,33,15,5
2021-07-27 00:00:00+00:00,57,30,1,1
2021-07-28 00:00:00+00:00,69,35,3,3
2021-07-29 00:00:00+00:00,29,20,25,3
2021-07-30 00:00:00+00:00,19,10,3,2
2021-07-31 00:00:00+00:00,6,5,0,0
2021-08-01 00:00:00+00:00,22,6,25,3
2021-08-02 00:00:00+00:00,34,21,29,2
2021-08-03 00:00:00+00:00,83,33,4,4
2021-08-04 00:00:00+00:00,134,39,15,2
2021-08-05 00:00:00+00:00,62,30,33,6
2021-08-06 00:00:00+00:00,47,24,5,3
2021-08-07 00:00:00+00:00,24,18,3,2
2021-08-08 00:00:00+00:00,14,12,2,2
2021-08-09 00:00:00+00:00,29,21,6,1
2021-08-10 00:00:00+00:00,50,29,7,4
2021-08-11 00:00:00+00:00,92,38,9,4
2021-08-12 00:00:00+00:00,75,31,9,2
2021-08-13 00:00:00+00:00,22,13,1,1
2021-08-14 00:00:00+00:00,2,2,6,2
2021-08-15 00:00:00+00:00,9,2,12,2
2021-08-16 00:00:00+00:00,24,18,13,4
2021-08-17 00:00:00+00:00,50,29,70,2
2021-08-18 00:00:00+00:00,64,30,17,4
2021-08-19 00:00:00+00:00,93,34,12,4
2021-08-20 00:00:00+00:00,69,29,11,3
2021-08-21 00:00:00+00:00,53,24,5,2
2021-08-22 00:00:00+00:00,24,14,6,3
2021-08-23 00:00:00+00:00,12,10,16,7
2021-08-24 00:00:00+00:00,71,28,15,2
2021-08-25 00:00:00+00:00,53,30,14,2
2021-08-26 00:00:00+00:00,36,24,2,2
2021-08-27 00:00:00+00:00,53,30,0,0
2021-08-28 00:00:00+00:00,11,10,0,0
2021-08-29 00:00:00+00:00,2,2,12,5
2021-08-30 00:00:00+00:00,31,22,21,5
2021-08-31 00:00:00+00:00,71,30,7,3
2021-09-01 00:00:00+00:00,103,35,76,4
2021-09-02 00:00:00+00:00,89,35,1,1
2021-09-03 00:00:00+00:00,87,34,3,3
2021-09-04 00:00:00+00:00,47,24,0,0
2021-09-05 00:00:00+00:00,22,17,1,1
2021-09-06 00:00:00+00:00,25,20,3,1
2021-09-07 00:00:00+00:00,2,2,19,6
2021-09-08 00:00:00+00:00,51,25,35,5
2021-09-09 00:00:00+00:00,87,32,15,4
2021-09-10 00:00:00+00:00,78,32,1,1
2021-09-11 00:00:00+00:00,1,1,0,0
2021-09-12 00:00:00+00:00,16,12,5,1
2021-09-13 00:00:00+00:00,37,23,1,1
2021-09-14 00:00:00+00:00,41,28,6,1
2021-09-15 00:00:00+00:00,85,33,2,2
